Home Team,Away Team,Result,Home Team Goals Scored,Away Team Goals Scored,Home Team Possession %,Away Team Possession %,Winning Team Possession Difference %,Home Team Off Target Shots,Away Team Off Target Shots,Home Team On Target Shots,Away Team On Target Shots,Home Team Total Shots,Away Team Total Shots,Home Away Teamlocked Shots,Away Team Blocked Shots,Home Team Corners,Away Team Corners,Home Team Throw Ins,Away Team Throw Ins,Home Team Pass Success %,Away Team Pass Success %,Home Team Clearances,Away Team Clearances,Home Team Fouls,Away Team Fouls,Home Team Yellow Cards,Away Team Yellow Cards,Home Team Second Yellow Cards,Away Team Second Yellow Cards,Home Team Red Cards,Away Team Red Cards,Home Team Goals Conceeded,Away Team Goals Conceeded,year,Half Time Score,Score,Match Excitement,Home Team Rating,Away Team Rating,Home Team Aerials Won,Away Team Aerials Won
1,0,Away Team Win,0,2,44,56,12,4,2,0,5,8,15,4,8,6,5,22,29,79,86,25,37,15,11,2,1,0,0,0,0,2,0,2016,0-1,0-2,4.5,5.7,7.1,7,19
0,1,Home Team Win,1,0,44,56,-12,8,0,10,6,22,8,4,2,6,4,32,32,73,78,18,22,18,16,2,1,0,0,0,1,0,1,2016,1-0,1-0,5.2,6.7,5.6,14,21
2,2,Tie,1,1,62,38,,7,3,4,3,15,7,4,1,4,1,32,25,79,67,30,45,11,16,2,3,0,1,0,0,1,1,2016,1-0,1-1,4.7,6.6,5.2,31,24
2,2,Tie,0,0,53,47,,10,4,4,3,19,11,5,4,10,7,23,19,81,82,11,35,17,19,2,2,0,0,0,0,0,0,2016,0-0,0-0,3.3,6.6,6.3,8,17
0,1,Home Team Win,2,0,47,53,-6,2,8,4,4,6,15,0,3,4,8,25,32,76,72,35,14,18,10,1,2,0,0,0,0,0,2,2016,2-0,2-0,3.9,7,5.8,25,24
0,1,Home Team Win,4,0,49,51,-2,8,3,8,3,16,6,1,0,3,6,23,29,79,80,21,18,7,12,1,1,0,0,0,0,0,4,2016,3-0,4-0,5.2,7.4,5,12,13
0,1,Home Team Win,2,1,55,45,10,6,8,4,5,11,16,1,3,6,3,30,24,80,76,21,29,8,8,2,3,0,0,0,0,1,2,2016,0-1,2-1,5.8,6.8,5.9,19,26
0,1,Home Team Win,3,1,57,43,14,7,4,8,4,20,10,5,2,6,8,23,15,81,69,25,29,14,18,1,2,0,0,0,0,1,3,2016,1-0,3-1,6.3,7.6,5.4,12,13
0,1,Home Team Win,1,0,46,54,-8,6,3,6,2,15,6,3,1,5,6,26,21,74,82,21,29,16,13,3,3,0,1,0,0,0,1,2016,1-0,1-0,3.5,6.6,5.3,31,9
0,1,Home Team Win,5,1,63,37,26,4,6,9,9,17,19,4,4,7,5,13,16,89,83,16,24,12,7,1,1,0,0,0,1,1,5,2016,3-0,5-1,7.7,7.9,4.8,6,20
