Result,Home Team Rating,Winning Team Possession Difference %,Home Team Possession %
Home Team Win,7.8,22,34
Home Team Win,6.7,10,68
Home Team Win,8,-38,72
Away Team Win,4.7,-28,61
Home Team Win,7.9,-4,71
Home Team Win,6.3,-18,48
Home Team Win,7.7,24,74
Tie,6,6,62
Away Team Win,5.8,2,52
Tie,6.5,-38,40
Home Team Win,6.4,-2,60
Away Team Win,5.3,10,50
Away Team Win,4.6,14,37
Tie,6.4,24,59
Home Team Win,7.1,34,37
Home Team Win,7.3,-24,74
Tie,5.6,-34,49
Home Team Win,7,16,48
Home Team Win,6.3,16,49
Tie,7.2,-24,69
Away Team Win,5.6,30,59
Home Team Win,7.1,32,49
Home Team Win,7.6,-30,51
Tie,6.6,14,47
Away Team Win,5.6,8,50
Tie,6.2,-4,47
Home Team Win,6.7,-18,46
Home Team Win,7.3,42,57
Home Team Win,7.7,-50,53
Home Team Win,6.9,-14,28
Home Team Win,8,62,40
Away Team Win,4.8,-14,54
Tie,5.5,8,58
Away Team Win,5,0,59
Home Team Win,8,42,35
Home Team Win,6.6,-26,42
Home Team Win,7.3,-42,69
Tie,7,14,27
Tie,7.1,-38,64
Away Team Win,5.8,-14,55
Home Team Win,7.4,28,42
Away Team Win,5.9,4,59
Away Team Win,6,-8,67
Tie,6.6,-4,53
Away Team Win,6.2,20,52
Tie,6,-12,62
Away Team Win,4.1,-10,34
Home Team Win,7.6,26,39
Tie,6.3,2,58
Tie,6.2,-12,49
Away Team Win,5.4,-24,41
Away Team Win,6,-26,65
Home Team Win,6.8,14,44
Home Team Win,6.6,6,58
Home Team Win,6.5,-10,54
Home Team Win,6.6,-16,44
Home Team Win,8,38,83
Home Team Win,6.8,-42,48
Home Team Win,7.1,22,55
Home Team Win,6.6,22,38
Tie,5.7,-12,37
Away Team Win,5.9,4,43
Tie,6.5,-22,38
Tie,6.6,-28,61
Home Team Win,6.8,10,46
Tie,6.4,-22,52
Away Team Win,6.2,-6,75
Away Team Win,5.5,-8,44
Home Team Win,7.5,-44,46
Tie,6.7,10,47
Home Team Win,7.3,2,48
Home Team Win,5.8,34,51
Tie,6.9,26,60
Home Team Win,6.7,8,51
Home Team Win,6.4,14,40
Tie,6.2,24,52
Tie,6.6,-12,38
Home Team Win,7.3,20,45
Home Team Win,6.6,16,41
Away Team Win,4.8,-12,52
Home Team Win,6.7,2,41
Away Team Win,5.3,-36,44
Away Team Win,5.7,-28,53
Home Team Win,7,30,64
Tie,6,34,46
Home Team Win,6.6,4,47
Home Team Win,8,6,59
Tie,6.4,14,60
Tie,6.3,-44,53
Tie,6.8,-24,71
Away Team Win,5.4,8,62
Tie,6.2,42,58
Home Team Win,7.8,-22,70
Away Team Win,6,-20,58
Away Team Win,5.4,6,48
Away Team Win,5.3,-2,44
Tie,6.4,-26,45
Tie,6,52,36
Tie,5.7,12,55
Away Team Win,5.9,12,36
Away Team Win,5.8,22,46
Home Team Win,7.5,10,37
Tie,6,26,57
Home Team Win,7.7,8,49
Home Team Win,7.1,30,57
Home Team Win,6.8,6,58
Home Team Win,8,-44,39
Away Team Win,5.9,12,61
Home Team Win,7.6,-20,64
Home Team Win,7,28,58
Home Team Win,7.3,-22,32
Home Team Win,6.8,-10,40
Away Team Win,5,-20,66
Home Team Win,6.1,-18,37
Away Team Win,4.7,10,24
Tie,5.7,10,53
Away Team Win,5.4,0,49
Home Team Win,6.9,-50,35
Away Team Win,4.7,36,60
Away Team Win,6.6,42,53
Home Team Win,6.7,12,44
Tie,6.6,-24,41
Home Team Win,6.9,-14,38
Away Team Win,6.5,-24,52
Tie,6.4,-50,76
Tie,6.6,24,60
Home Team Win,6.6,14,65
Away Team Win,4.9,10,54
Away Team Win,6,-20,54
Tie,6.3,20,64
Tie,6.3,26,50
Away Team Win,5.5,-12,56
Home Team Win,6.7,8,48
Tie,6.7,-22,67
Home Team Win,6.7,18,50
Away Team Win,5.1,36,49
Tie,6.7,-2,50
Away Team Win,5.1,-6,60
Away Team Win,4.3,-8,39
Away Team Win,5.9,-4,53
Tie,6.2,24,55
Away Team Win,5,22,60
Home Team Win,8.1,6,75
Home Team Win,7.9,6,46
Home Team Win,7.5,44,54
Tie,6.5,0,45
Home Team Win,6.6,14,46
Home Team Win,7,-14,43
Away Team Win,4.8,-40,56
Away Team Win,5.5,14,56
Tie,6.9,22,62
Away Team Win,4.8,-2,50
Home Team Win,7.8,-34,53
Away Team Win,5.4,24,57
Home Team Win,6.5,-30,60
Home Team Win,6.9,-30,49
Home Team Win,7.1,36,39
Tie,6,28,43
Home Team Win,7.2,-12,56
Away Team Win,5.8,6,44
Tie,6.5,4,66
Home Team Win,9.3,20,42
Home Team Win,9.2,-6,60
Tie,6.3,-16,52
Home Team Win,6.1,42,45
Tie,6.5,-6,45
Home Team Win,7.3,28,43
Home Team Win,6.6,-20,56
Away Team Win,4.8,-16,60
Away Team Win,4.9,-4,29
Tie,6.3,18,52
Home Team Win,7.3,8,61
Home Team Win,6.9,-46,50
Tie,6.5,48,63
Away Team Win,5,12,46
Tie,5.9,-22,62
Tie,6.5,-28,53
Home Team Win,6.8,46,55
Home Team Win,7.7,4,53
Home Team Win,7,-4,40
Home Team Win,9,18,70
Home Team Win,7.5,52,41
Tie,6.3,-6,42
Home Team Win,6.8,-4,49
Home Team Win,7.9,-22,58
Away Team Win,4.9,18,54
Home Team Win,7.5,28,43
Home Team Win,7,6,58
Away Team Win,5.1,-16,25
Away Team Win,5.2,8,55
Home Team Win,8.1,-22,43
Home Team Win,6.8,30,43
Tie,6.1,18,59
Home Team Win,6.6,-34,55
Home Team Win,7.9,2,60
Home Team Win,6.5,-16,42
Away Team Win,4.1,2,49
Tie,6.4,12,27
Tie,6.2,30,56
Away Team Win,5.4,-4,65
Home Team Win,7.9,20,38
Tie,6.3,-2,33
Away Team Win,5.1,14,34
Home Team Win,7.5,-20,35
Away Team Win,5.6,2,67
Home Team Win,6.5,10,35
Tie,6.5,-6,39
Home Team Win,7.4,6,42
Home Team Win,6.7,44,50
Away Team Win,5.6,-14,65
Home Team Win,7.9,30,47
Home Team Win,7.2,-4,47
Home Team Win,7.3,-12,45
Away Team Win,4.3,-14,49
Away Team Win,4.9,-4,80
Home Team Win,6.3,-2,54
Home Team Win,7,30,47
Home Team Win,7.5,-14,41
Away Team Win,6,-24,44
Home Team Win,8,4,47
Tie,6.6,0,52
Home Team Win,6.6,24,67
Away Team Win,5.7,4,52
Home Team Win,6.6,14,59
Tie,6.1,4,55
Home Team Win,5.8,12,49
Away Team Win,5.8,2,51
Home Team Win,7.1,-16,49
Home Team Win,6.3,-24,48
Home Team Win,7,6,46
Tie,6.8,-14,56
Away Team Win,5,28,43
Tie,6.8,-18,57
Away Team Win,4.8,-12,50
Home Team Win,7.1,-8,59
Tie,6.8,6,39
Away Team Win,4.9,26,32
Tie,6.3,2,68
Away Team Win,4.9,-24,58
Home Team Win,7.2,-10,60
Tie,6.1,-16,61
Home Team Win,6.9,8,54
Home Team Win,6,-20,32
Home Team Win,7.2,4,76
Home Team Win,6.5,10,33
Home Team Win,6.6,24,50
Tie,5.7,30,56
Tie,5.7,14,42
Tie,6,-2,54
Home Team Win,6.8,-16,55
Home Team Win,7.2,8,49
Away Team Win,5.5,-30,73
Tie,6.7,-6,40
Away Team Win,5.8,32,50
Away Team Win,5.2,0,30
Home Team Win,6.6,2,51
Tie,6,26,46
Home Team Win,7.4,42,54
Away Team Win,5.6,-8,58
Tie,6.5,-4,64
Home Team Win,6.1,-26,42
Away Team Win,6.1,12,44
Home Team Win,7.6,8,55
Tie,5.8,-24,47
Home Team Win,6.9,-2,45
Home Team Win,9.8,-6,73
Home Team Win,6.9,14,31
Tie,6.2,-24,56
Away Team Win,6,-2,55
Home Team Win,6.8,14,38
Home Team Win,6.5,-2,43
Home Team Win,8,12,38
Away Team Win,5.1,-28,43
Home Team Win,7.3,-4,41
Home Team Win,7.5,-28,50
Home Team Win,6.6,-6,49
Home Team Win,7,8,65
Home Team Win,6.5,14,49
Away Team Win,5,-20,49
Away Team Win,5.4,-32,72
Tie,5.9,46,43
Away Team Win,5.8,8,69
Home Team Win,8.4,-2,59
Home Team Win,9.1,16,54
Tie,6,-28,52
Away Team Win,5,-4,50
Away Team Win,5,-6,29
Tie,5.8,26,65
Away Team Win,5.1,26,46
Away Team Win,5.7,16,46
Tie,6.6,24,61
Home Team Win,8.1,10,54
Home Team Win,6.9,38,41
Tie,6.3,36,58
Away Team Win,5.5,14,63
Away Team Win,4.3,-12,41
Away Team Win,5.3,22,34
Home Team Win,8.3,26,74
Tie,6.7,-14,44
Tie,6.1,20,68
Away Team Win,4.6,36,60
Away Team Win,4.9,-14,53
Tie,7.1,-40,72
Away Team Win,5.8,8,59
Away Team Win,6.1,4,43
Tie,5.7,8,56
Home Team Win,6.8,56,58
Away Team Win,5,-14,48
Home Team Win,7.8,32,57
Home Team Win,6.6,20,36
Home Team Win,6.6,14,30
Away Team Win,5.5,-2,50
Away Team Win,5.4,8,54
Home Team Win,6.6,16,50
Home Team Win,7.4,-4,48
Away Team Win,4.8,14,58
Home Team Win,6.8,-2,43
Home Team Win,7.6,0,43
Home Team Win,7.8,16,51
Home Team Win,6.4,-10,60
Home Team Win,6.4,-10,45
Away Team Win,5.6,52,34
Away Team Win,6.1,20,59
Tie,6.9,6,57
Tie,6.5,-48,78
Home Team Win,7.8,-8,55
Tie,6.5,-14,47
Home Team Win,7.5,8,62
Away Team Win,6.5,8,52
Away Team Win,5.1,36,60
Home Team Win,7.6,20,67
Home Team Win,6.5,18,36
Away Team Win,5.2,24,44
Tie,6.3,-18,49
Home Team Win,6.7,-36,46
Away Team Win,5.4,-4,54
Home Team Win,7.1,32,69
Away Team Win,5.8,-40,47
Home Team Win,8,34,76
Home Team Win,7.1,22,63
Home Team Win,7.6,-38,41
Tie,6.5,4,52
Home Team Win,6.5,-20,39
Tie,5.8,8,70
Home Team Win,7.6,-10,71
Away Team Win,5.4,-30,46
Home Team Win,7.6,-4,48
Away Team Win,4.5,-12,28
Home Team Win,7.4,-6,37
Tie,6.9,20,62
Tie,6.8,0,48
Home Team Win,6.8,24,52
Home Team Win,6.6,-60,47
Home Team Win,6.9,24,53
Tie,6.4,-10,45
Home Team Win,7.2,36,27
Home Team Win,6.9,-46,56
Away Team Win,5.5,16,55
Tie,6.6,-10,51
Home Team Win,6.6,-38,60
Tie,6,-8,47
Tie,6.1,26,50
Home Team Win,7.2,18,54
Away Team Win,5,-36,62
Away Team Win,5.8,-28,62
Away Team Win,5.6,-6,56
Home Team Win,6.9,12,57
Home Team Win,6.6,10,44
Away Team Win,4.9,-32,39
Away Team Win,5.8,6,43
Tie,6.8,-20,67
Away Team Win,5.2,-18,43
Away Team Win,4.9,28,48
Away Team Win,6.6,-10,64
Away Team Win,5.8,30,49
Home Team Win,6.7,20,47
Away Team Win,6.4,-8,62
Away Team Win,6.3,-6,48
Away Team Win,4.9,-26,44
Home Team Win,6.8,8,45
Tie,6.1,0,47
Home Team Win,8,-26,63
Home Team Win,7.2,-12,63
Away Team Win,5.2,-16,43
Away Team Win,4.3,-24,46
Home Team Win,6.1,6,53
Tie,6.2,38,48
Away Team Win,4.7,8,54
Away Team Win,4.4,-8,46
Tie,6,12,64
Tie,6.9,32,41
Tie,6.2,-40,40
Away Team Win,5.7,18,52
Home Team Win,7.1,-2,49
Away Team Win,4.7,10,38
Home Team Win,7.7,8,53
Tie,6.2,0,69
Away Team Win,4.5,12,28
Tie,6.7,8,59
Home Team Win,7.6,48,52
Away Team Win,5.4,-26,69
Tie,6,18,50
Home Team Win,6.9,2,69
Home Team Win,8.1,-28,40
Home Team Win,7.2,22,43
Away Team Win,5.4,-30,29
Home Team Win,7.3,-22,51
Home Team Win,8.3,36,61
Away Team Win,5.4,-4,48
Tie,5.9,16,45
Tie,6.3,-22,39
Tie,6.2,12,41
Home Team Win,7.4,12,84
Tie,6.3,-2,28
Tie,5.9,-22,69
Away Team Win,5.4,26,58
Home Team Win,7,-20,62
Home Team Win,8.4,-16,41
Home Team Win,7.3,6,40
Home Team Win,6.4,-42,75
Away Team Win,5.2,14,50
Home Team Win,7.1,18,34
Tie,6.3,-8,52
Home Team Win,6.7,24,28
Home Team Win,7,-12,73
Home Team Win,6.9,32,50
Away Team Win,4.4,16,55
Away Team Win,5,-18,45
Home Team Win,6.7,-10,60
Away Team Win,4.1,8,37
Home Team Win,8.1,20,51
Tie,6.4,28,59
Home Team Win,6.8,-32,56
Home Team Win,6.9,-12,75
Home Team Win,9.8,-20,60
Home Team Win,6.6,-24,35
Tie,6.4,8,68
Away Team Win,5.5,-2,45
Home Team Win,6.1,6,64
Away Team Win,5.5,12,39
Away Team Win,5.2,24,45
Tie,6.7,34,54
Tie,5.7,-12,40
Away Team Win,5.9,-8,50
Home Team Win,7.6,-4,59
Home Team Win,7.3,-10,61
Away Team Win,4.7,4,48
Away Team Win,5.1,-32,71
Home Team Win,6.2,-22,64
Home Team Win,10,12,70
Home Team Win,7.7,-20,36
Home Team Win,7.1,8,53
Home Team Win,7.7,14,50
Home Team Win,7.1,42,56
Home Team Win,7,-8,30
Tie,6.3,4,29
Home Team Win,8.7,2,49
Away Team Win,6,34,61
Home Team Win,7,-4,50
Home Team Win,8.2,22,30
Tie,6.4,-34,56
Away Team Win,4.8,36,37
Away Team Win,5.5,-34,60
Away Team Win,5.1,-18,63
Home Team Win,7,28,61
Home Team Win,9.6,-26,59
Away Team Win,4.6,-28,42
Tie,6.4,12,52
Tie,6.5,-16,53
Away Team Win,5.7,-8,32
Home Team Win,6.5,28,62
Away Team Win,6,20,42
Home Team Win,7.8,-46,52
Home Team Win,6.9,-16,61
Home Team Win,7.6,12,60
Away Team Win,4.8,-34,33
Away Team Win,4.7,-30,44
Home Team Win,7.1,-4,69
Home Team Win,7.7,-8,64
Home Team Win,6.7,8,55
Home Team Win,8.9,8,52
Away Team Win,5.4,-8,61
Away Team Win,4.7,-18,40
Away Team Win,4.5,44,41
Tie,5.4,0,59
Tie,7,-26,59
Away Team Win,5.1,-20,26
Home Team Win,7,2,40
Tie,6.1,6,48
Home Team Win,7,-12,46
Away Team Win,4.6,-14,70
Home Team Win,6,8,47
Home Team Win,7.3,-16,32
Away Team Win,4.4,-32,45
Tie,6.3,-2,33
Tie,6.5,-16,57
Home Team Win,6.8,34,54
Home Team Win,6.7,-34,51
Tie,5.7,34,42
Home Team Win,7.6,-38,70
Tie,6.1,-30,48
Tie,6.5,-26,50
Tie,6,-18,39
Home Team Win,8.9,30,81
Home Team Win,6.5,32,61
Home Team Win,8,10,41
Away Team Win,4.7,20,48
Home Team Win,8.3,18,58
Tie,6.2,-30,75
Away Team Win,5.4,-2,65
Away Team Win,5.1,4,39
Tie,6.3,-4,35
Away Team Win,5.8,26,58
Home Team Win,7.9,2,61
Home Team Win,9.2,-2,55
Home Team Win,7.6,16,57
Tie,5.6,-28,40
Home Team Win,6.2,10,49
Away Team Win,4.5,-16,36
Away Team Win,5.9,-10,30
Home Team Win,8.5,2,61
Home Team Win,6.4,-8,54
Tie,6.5,4,54
Tie,6,20,30
Home Team Win,7.4,2,43
Home Team Win,7,2,71
Tie,5.8,-2,54
Tie,6.5,28,71
Home Team Win,8.9,2,78
Away Team Win,6.2,-24,67
Home Team Win,6.6,34,74
Home Team Win,7.5,6,52
Home Team Win,6.6,2,47
Tie,6.7,12,60
Home Team Win,6.8,-10,31
Away Team Win,4.6,-6,36
Away Team Win,5.2,14,26
Away Team Win,4.9,4,54
Away Team Win,5.1,-10,32
Away Team Win,5.5,-10,48
Home Team Win,6.5,28,54
Tie,6.5,2,54
Away Team Win,5.2,-20,33
Home Team Win,6.7,6,44
Away Team Win,4.7,8,57
Away Team Win,5.3,-28,49
Home Team Win,6.9,36,57
Home Team Win,8.7,0,67
Tie,6.6,-6,75
Away Team Win,5.6,-2,52
Tie,6.6,12,63
Home Team Win,7.1,-32,26
Home Team Win,6.6,-4,66
Home Team Win,6.7,38,59
Tie,6,-30,42
Away Team Win,5.6,32,51
Home Team Win,8.5,-30,34
Home Team Win,6.4,-2,52
Home Team Win,6.7,-32,30
Away Team Win,4.7,-8,47
Tie,6.6,-52,32
Away Team Win,5.2,-8,68
Away Team Win,4.2,-32,46
Home Team Win,7.1,10,51
Home Team Win,6.3,44,38
Home Team Win,8,22,60
Home Team Win,7.1,8,67
Tie,6,6,62
Away Team Win,5.2,10,46
Home Team Win,7.3,16,58
Tie,6,30,37
Tie,6.3,-8,52
Away Team Win,5.6,-22,53
Away Team Win,5.2,14,65
Away Team Win,6.2,34,53
Away Team Win,5.1,6,52
Away Team Win,4.3,6,25
Away Team Win,6,-10,36
Tie,6.5,-26,66
Away Team Win,5.7,10,55
Away Team Win,4.6,-30,54
Home Team Win,6.8,0,53
Away Team Win,5.8,22,64
Tie,6.9,42,65
Tie,5.8,12,34
Away Team Win,5.3,2,65
Tie,5.8,16,55
Home Team Win,8.7,0,63
Home Team Win,6.2,24,51
Tie,6.1,-6,62
Home Team Win,6.6,-22,34
Tie,6.3,-12,53
Home Team Win,6.9,26,55
Tie,5.7,0,21
Home Team Win,6.7,-8,39
Tie,6.4,32,57
Home Team Win,7.1,42,54
Home Team Win,7.9,-24,42
Home Team Win,7,-8,42
Home Team Win,6.5,0,47
Home Team Win,6.9,-12,66
Home Team Win,6.3,-4,40
Home Team Win,6.5,8,49
Tie,6.2,-2,43
Away Team Win,5.2,-8,43
Tie,6.5,26,62
Tie,6,16,56
Home Team Win,7.6,8,49
Home Team Win,8.1,38,63
Home Team Win,10,-14,68
Home Team Win,8.8,-8,40
Home Team Win,7.6,8,65
Tie,6.8,18,46
Away Team Win,5.9,-22,60
Home Team Win,6.3,2,54
Home Team Win,7.4,4,39
Away Team Win,5.3,24,33
Away Team Win,5.6,10,45
Away Team Win,5.4,6,55
Away Team Win,5.9,-6,61
Tie,6.2,-28,57
Away Team Win,4.7,-32,38
Home Team Win,8.1,-14,60
Home Team Win,6.5,32,54
Home Team Win,6.6,-4,51
Tie,7,-2,67
Away Team Win,5.5,-2,69
Away Team Win,5.6,6,49
Away Team Win,4.8,16,29
Tie,7.1,10,72
Home Team Win,7.1,-24,37
Home Team Win,8.3,-18,69
Home Team Win,8.1,12,52
Away Team Win,5.3,-2,64
Home Team Win,6.5,12,55
Tie,5.6,18,55
Tie,6.5,30,51
Away Team Win,5.6,38,48
Away Team Win,5.7,-4,52
Away Team Win,6.3,-20,74
Home Team Win,7.4,34,50
Away Team Win,5.7,-38,60
Home Team Win,6.9,-4,54
Tie,6.4,16,63
Home Team Win,7,-18,37
Home Team Win,6.3,-40,50
Home Team Win,6.5,32,51
Home Team Win,7.7,-24,41
Home Team Win,7.4,20,56
Home Team Win,6.9,-6,55
Away Team Win,6.3,-10,54
Away Team Win,5.6,0,76
Home Team Win,6.5,32,38
Home Team Win,8.9,0,73
Away Team Win,4.8,6,38
Home Team Win,7.6,-24,39
Tie,6.5,54,57
Away Team Win,4.3,6,30
Home Team Win,6.5,-2,49
Home Team Win,6.2,24,50
Away Team Win,4.2,-14,60
Home Team Win,7.5,16,46
Away Team Win,5,-14,49
Tie,6.7,14,56
Away Team Win,5.9,32,71
Away Team Win,4.9,-60,35
Tie,7.5,24,54
Away Team Win,4.5,6,44
Home Team Win,7.4,-6,59
Home Team Win,7,4,48
Home Team Win,7.6,10,75
Home Team Win,7.1,20,54
Tie,5.6,10,59
Home Team Win,7.4,24,69
Away Team Win,5.8,34,39
Tie,5.8,20,41
Home Team Win,6.6,-16,48
Home Team Win,6.1,26,51
Home Team Win,7,14,45
Home Team Win,7,20,48
Away Team Win,5.4,-16,48
Away Team Win,5.8,24,58
Away Team Win,5.8,34,65
Away Team Win,5.4,-6,29
Home Team Win,7.3,28,66
Away Team Win,3.8,-40,33
Away Team Win,5.3,18,36
Home Team Win,6,22,46
Home Team Win,6.9,4,33
Home Team Win,6.6,-20,71
Away Team Win,5.1,6,65
Away Team Win,6,12,59
Home Team Win,9.7,48,75
Away Team Win,4.5,34,53
Home Team Win,8.1,48,67
Tie,6.3,10,42
Home Team Win,8.7,16,66
Tie,6.2,16,53
Away Team Win,5.2,6,31
Home Team Win,5.9,-2,35
Home Team Win,6.7,10,51
Tie,6.7,-14,64
Home Team Win,8.3,18,45
Away Team Win,5.3,18,47
Tie,6.8,-16,67
Away Team Win,5.3,34,70
Away Team Win,5.2,10,68
Home Team Win,6.6,-2,50
Home Team Win,7.2,-2,52
Tie,6.6,14,70
Home Team Win,6.9,-10,54
Home Team Win,8.1,-28,63
Away Team Win,5.2,30,57
Tie,5.7,-10,27
Away Team Win,5.9,-30,40
Away Team Win,5.2,28,53
Home Team Win,7.9,2,51
Away Team Win,4.9,34,50
Away Team Win,5,-12,39
Tie,6.2,32,39
Home Team Win,7.3,-20,72
Away Team Win,5.8,8,36
Away Team Win,4,40,61
Tie,6.4,10,48
Away Team Win,5.4,-2,61
Away Team Win,4.4,-10,53
Home Team Win,7.2,-8,76
Home Team Win,8,-24,56
Away Team Win,5.4,-40,64
Tie,5.5,20,50
Home Team Win,6.8,-32,64
Home Team Win,6.7,20,45
Away Team Win,3.4,26,36
Away Team Win,5.2,-18,45
Home Team Win,8.2,-2,38
Tie,6.1,24,39
Tie,6.5,-8,37
Away Team Win,5.1,-18,50
Away Team Win,5.4,34,48
Tie,5.8,16,49
Home Team Win,7.9,-10,62
Home Team Win,6.9,34,52
Tie,6.3,54,39
Tie,6.5,12,44
Away Team Win,5.8,-8,45
Home Team Win,7.5,0,74
Tie,5.5,2,35
Home Team Win,8.1,6,60
Tie,6,-22,54
Away Team Win,4.9,6,51
Away Team Win,5.8,12,40
Tie,7.2,20,67
Away Team Win,4.6,-20,53
Tie,6.2,-16,48
Away Team Win,5.2,0,32
Away Team Win,5.1,-20,37
Home Team Win,7.6,22,55
Away Team Win,5,-6,39
Tie,6,24,39
Away Team Win,4.7,28,45
Away Team Win,6,-38,63
Home Team Win,8.3,-56,66
Away Team Win,5.1,34,71
Away Team Win,3.4,-20,35
Tie,6,10,61
Away Team Win,6.2,-18,51
Tie,7.2,26,63
Tie,6.7,32,45
Away Team Win,4.9,26,69
Tie,6.1,16,57
Home Team Win,6.3,26,44
Tie,6.4,26,55
Tie,5.8,-22,40
Home Team Win,6.8,22,67
Away Team Win,5.6,-6,31
Away Team Win,5.4,-14,52
Away Team Win,5.3,-14,50
Away Team Win,5.4,12,42
Home Team Win,6.6,16,51
Home Team Win,8.9,6,69
Home Team Win,7.6,22,58
Away Team Win,5,20,47
Home Team Win,6.2,36,35
Away Team Win,4.9,-8,66
Tie,6.2,-12,68
Away Team Win,5.3,52,48
Tie,6.2,-12,51
Home Team Win,7.2,24,64
Away Team Win,5.6,16,53
Tie,6.4,34,47
Tie,6.1,28,50
Away Team Win,5.6,32,51
Away Team Win,4,10,48
Away Team Win,4.7,20,39
Away Team Win,5.8,30,62
Away Team Win,6.2,-20,37
Tie,6.1,-8,46
Home Team Win,6.7,-36,50
Away Team Win,5.7,-14,66
Tie,5.9,32,27
Home Team Win,7.6,28,52
Away Team Win,5.7,10,40
Home Team Win,6.7,8,41
Home Team Win,6.4,-18,64
Away Team Win,5,28,70
Home Team Win,7.3,8,68
Away Team Win,5.5,6,44
Tie,6.5,-10,72
Home Team Win,7.4,46,61
Tie,6.2,-2,57
Home Team Win,7.3,14,40
Home Team Win,8.2,-18,59
Away Team Win,4.1,-12,49
Away Team Win,5.3,-22,47
Tie,5.9,30,39
Away Team Win,5.1,-42,49
Home Team Win,6.6,-48,31
Home Team Win,7.5,-12,43
Home Team Win,6.7,-22,61
Away Team Win,4.7,12,59
Home Team Win,8.6,20,53
Home Team Win,7.1,40,56
Home Team Win,7.2,6,67
Home Team Win,7.8,-14,56
Away Team Win,4.2,-46,39
Away Team Win,5.8,20,35
Away Team Win,5.2,-30,47
Home Team Win,9.1,40,74
Home Team Win,8.1,-16,60
Home Team Win,8.7,-8,59
Tie,6.2,-24,48
Away Team Win,4.1,-10,33
Home Team Win,6.4,-32,50
Home Team Win,10,20,63
Away Team Win,5.4,-44,50
Tie,6.3,30,62
Away Team Win,5.9,38,64
Away Team Win,5,36,45
Away Team Win,5,-2,59
Home Team Win,7.7,8,48
Home Team Win,8,14,72
Tie,6.3,16,41
Away Team Win,5.2,2,56
Home Team Win,7,-2,47
Tie,6.7,24,59
Away Team Win,4.5,32,49
Home Team Win,7,28,20
Tie,6.6,-36,62
Away Team Win,4.2,-8,65
Home Team Win,8.1,28,28
Tie,6.7,-38,53
Home Team Win,8.4,6,50
Home Team Win,6.7,42,51
Home Team Win,8.4,10,66
Tie,6.3,-2,48
Home Team Win,5.9,-2,37
Away Team Win,4.5,24,40
Home Team Win,8.8,6,68
Tie,7.2,2,64
Home Team Win,7.1,42,67
Tie,5.9,-4,63
Away Team Win,5.8,2,39
Away Team Win,6,26,45
Away Team Win,5.4,0,33
Away Team Win,5,28,64
Away Team Win,4.9,38,34
Tie,6.2,-2,48
Tie,6.1,38,40
Tie,6,-6,54
Tie,6.4,-54,58
Home Team Win,8.6,28,61
Away Team Win,4.9,2,40
Tie,6.5,-18,51
Home Team Win,7.3,-14,68
Home Team Win,7.9,-4,75
Home Team Win,6.6,-28,49
Tie,6.2,0,50
Home Team Win,7,2,66
Tie,5.5,14,46
Home Team Win,6.8,-8,50
Away Team Win,5.7,-46,37
Tie,6.5,-4,72
Away Team Win,5,22,25
Home Team Win,6.5,10,49
Away Team Win,5,-4,40
Tie,6.3,12,52
Away Team Win,4.8,44,60
Tie,6.3,32,67
Tie,6.4,22,40
Tie,6.4,-4,33
Away Team Win,4.7,-22,47
Home Team Win,8.8,18,51
Home Team Win,7.3,34,57
Away Team Win,5.5,12,51
Home Team Win,6.5,16,47
Home Team Win,6.1,-8,59
Tie,6.1,-2,43
Away Team Win,5.8,40,41
Tie,6.6,20,52
Tie,6.3,-44,70
Away Team Win,5.8,38,30
Tie,6.5,-10,38
Away Team Win,5,26,41
Away Team Win,5.2,6,72
Away Team Win,5.6,18,49
Home Team Win,7.3,28,61
Away Team Win,5.8,-8,68
Home Team Win,6.3,30,58
Away Team Win,5.5,-32,42
Tie,5.7,36,59
Tie,6.3,-10,44
Home Team Win,8.1,8,56
Tie,5.8,-44,59
Tie,6.6,-4,36
Home Team Win,7.5,24,68
Tie,5.8,42,39
Tie,6.2,26,42
Home Team Win,7.3,-10,48
Tie,6.9,18,40
Tie,6.4,-26,62
Away Team Win,4.5,2,53
Away Team Win,4.1,2,35
Home Team Win,7.8,20,55
Home Team Win,6.6,-36,54
Away Team Win,5.3,38,60
Home Team Win,7.2,-18,55
Away Team Win,3.5,-16,72
Tie,6.5,-24,55
Home Team Win,6.5,0,48
Tie,6.3,14,33
Tie,6,24,41
Home Team Win,7.8,36,60
Tie,5.5,32,39
Tie,6.4,-6,62
Away Team Win,5.2,16,46
Away Team Win,5.4,10,54
Away Team Win,4.6,34,34
Home Team Win,6.6,-40,59
Away Team Win,5.8,34,48
Away Team Win,6.1,20,44
Home Team Win,7.1,-22,29
Away Team Win,5.5,34,43
Away Team Win,5.4,30,46
Tie,6.9,48,64
Away Team Win,5,30,45
Away Team Win,5.3,-2,47
Away Team Win,5.9,40,51
Home Team Win,7.9,18,42
Home Team Win,6.7,10,47
Away Team Win,5.1,40,70
Away Team Win,5.8,-24,45
Home Team Win,7,24,35
Away Team Win,5.4,-42,58
Away Team Win,5.1,-14,42
Home Team Win,7.7,56,62
Away Team Win,5,46,44
Home Team Win,7,10,60
Home Team Win,8.3,18,73
Home Team Win,7.3,44,33
Home Team Win,8,-10,41
Tie,6.8,-36,73
Home Team Win,8.7,32,50
Away Team Win,4.6,-12,40
Tie,5.9,-54,48
Away Team Win,5.6,6,55
