Result,Home Team Rating,Winning Team Possession Difference %,Home Team Possession %
Away Team Win,5.1,42,37
Home Team Win,8.1,16,59
Tie,6,-38,52
Tie,6,24,62
Away Team Win,4.7,14,54
Tie,6,14,59
Tie,6.5,26,66
Home Team Win,6.5,8,41
Tie,7.1,24,64
Home Team Win,8.6,-16,58
Away Team Win,5.5,-40,40
Away Team Win,6.1,8,63
Home Team Win,5.6,12,30
Tie,7,24,50
Home Team Win,9.2,-20,60
Tie,6.1,-14,62
Tie,6.7,16,62
Away Team Win,5.2,6,40
Tie,7,-22,52
Tie,5.9,-14,61
Tie,6.5,26,65
Home Team Win,7.3,-6,58
Home Team Win,6.6,-24,58
Tie,6,14,61
Tie,5.7,-40,50
Home Team Win,6.6,12,48
Home Team Win,5.7,6,39
Home Team Win,7.7,-22,40
Away Team Win,5.4,-38,48
Tie,7.2,4,60
Tie,6.8,4,38
Away Team Win,5.8,10,66
Tie,6,14,60
Away Team Win,5.9,18,53
Away Team Win,5.8,-38,69
Away Team Win,5,2,46
Tie,6,-6,48
Away Team Win,5.6,-16,40
Home Team Win,8.8,-8,62
Home Team Win,6.9,22,40
Home Team Win,7.1,-6,52
Home Team Win,7.2,14,62
Away Team Win,6.2,-34,69
Away Team Win,4.7,14,50
Tie,6.1,26,46
Home Team Win,6.6,0,47
Tie,5.9,-20,45
Away Team Win,5.9,-4,67
Tie,6.2,-8,47
Tie,5.7,-10,56
Home Team Win,6.7,-18,30
Tie,6.3,-20,34
Home Team Win,7,12,49
Home Team Win,8.7,-26,38
Away Team Win,5.9,-22,47
Home Team Win,7.5,-8,66
Home Team Win,7,-10,42
Home Team Win,7.3,6,52
Away Team Win,5.2,-34,59
Home Team Win,7.5,-14,53
Home Team Win,7.1,-34,61
Home Team Win,7.5,24,60
Tie,6.2,36,51
Away Team Win,5.6,2,44
Home Team Win,6.6,40,58
Home Team Win,7.7,-10,51
Away Team Win,5.5,-10,50
Away Team Win,5.1,0,48
Away Team Win,5.1,-2,47
Home Team Win,7.5,12,37
Tie,5.7,-12,42
Away Team Win,6.2,4,42
Away Team Win,4.3,10,29
Tie,6.4,52,45
Tie,7.1,6,68
Home Team Win,7.9,-22,58
