,Home Team Possession %,Away Team Possession %,Home Team Pass Success %,Away Team Pass Success %,Home Team On Target Shots,Away Team On Target Shots
4642,54,46,78,73,6,2
871,55,45,81,78,6,6
6134,31,69,74,89,3,8
8420,48,52,77,81,3,2
43,46,54,80,83,5,7
4106,19,81,56,91,0,8
9624,47,53,74,76,3,2
5851,30,70,66,88,7,7
3451,69,31,90,77,4,5
1847,46,54,81,82,6,7
6069,54,46,83,79,6,5
6454,23,77,66,90,1,10
8584,57,43,65,52,4,2
2931,57,43,69,59,9,4
10265,50,50,77,76,4,5
4513,30,70,71,91,2,2
301,40,60,70,79,7,1
9558,45,55,69,75,9,1
10238,52,48,78,74,5,2
9050,54,46,87,84,7,2
5273,53,47,78,76,7,4
2249,42,58,81,88,7,6
8020,42,58,72,78,1,2
324,50,50,82,81,6,5
8073,55,45,85,80,10,5
7640,45,55,75,81,4,6
1608,66,34,85,70,12,2
832,65,35,88,78,6,3
8633,51,49,82,82,6,3
7403,50,50,78,78,3,3
9180,57,43,85,80,4,3
10289,52,48,81,74,4,1
7620,41,59,72,78,3,3
11836,59,41,85,76,9,4
8237,36,64,78,88,7,6
10278,69,31,86,64,7,1
1327,53,47,87,80,3,4
4171,49,51,82,84,4,6
1852,52,48,79,74,2,3
7997,61,39,84,75,9,2
1544,49,51,83,87,3,4
5358,66,34,90,77,10,3
9254,71,29,89,75,4,4
6155,37,63,82,91,8,9
7734,33,67,56,75,1,6
2825,56,44,68,65,4,1
3827,51,49,76,75,5,3
1989,52,48,77,78,5,2
7631,30,70,59,82,3,4
5225,31,69,59,83,1,4
6496,65,35,86,71,3,5
2739,42,58,68,77,6,6
6727,47,53,74,78,1,1
9258,60,40,77,65,4,3
2948,23,77,57,87,3,5
1650,45,55,82,82,6,3
290,40,60,72,83,6,1
2112,74,26,91,71,8,3
11701,22,78,70,91,3,1
6770,67,33,83,67,10,5
8811,48,52,69,68,5,1
8818,62,38,83,68,2,3
7731,62,38,82,62,4,4
