Home Team Fouls,Home Team Fouls Z-Score,Home Team Fouls Min-Max,Winning Team Possession Difference %,Winning Team Possession Difference Z-Score,Winning Team Possession Difference Min-Max
13,0.053767414172349585,0.3939393939393939,42.0,1.7284538842007682,0.803030303030303
17,1.022464277125124,0.5151515151515151,12.0,0.39839140271855994,0.5757575757575758
19,1.506812708601511,0.5757575757575758,0.0,-0.13363358987432344,0.48484848484848486
22,2.233335355816092,0.6666666666666666,8.0,0.22104973852093215,0.5454545454545454
14,0.2959416299105432,0.42424242424242425,,,
20,1.7489869243397047,0.6060606060606061,,,
14,0.2959416299105432,0.42424242424242425,,,
22,2.233335355816092,0.6666666666666666,0.0,-0.13363358987432344,0.48484848484848486
8,-1.1571036645186183,0.24242424242424243,-22.0,-1.1090127429612764,0.3181818181818182
12,-0.188406801565844,0.36363636363636365,0.0,-0.13363358987432344,0.48484848484848486
13,0.053767414172349585,0.3939393939393939,10.0,0.30972057061974606,0.5606060606060606
10,-0.6727552330422312,0.30303030303030304,30.0,1.196428891607885,0.7121212121212122
18,1.2646384928633174,0.5454545454545454,26.0,1.0190872274102571,0.6818181818181818
21,1.9911611400778984,0.6363636363636364,6.0,0.13237890642211825,0.5303030303030303
26,3.202032218768866,0.7878787878787878,-8.0,-0.488316918269579,0.42424242424242425
10,-0.6727552330422312,0.30303030303030304,,,
19,1.506812708601511,0.5757575757575758,-16.0,-0.8430002466648346,0.36363636363636365
14,0.2959416299105432,0.42424242424242425,-12.0,-0.6656585824672068,0.3939393939393939
17,1.022464277125124,0.5151515151515151,6.0,0.13237890642211825,0.5303030303030303
12,-0.188406801565844,0.36363636363636365,-8.0,-0.488316918269579,0.42424242424242425
12,-0.188406801565844,0.36363636363636365,40.0,1.6397830521019543,0.7878787878787878
14,0.2959416299105432,0.42424242424242425,,,
11,-0.4305810173040376,0.3333333333333333,-16.0,-0.8430002466648346,0.36363636363636365
11,-0.4305810173040376,0.3333333333333333,16.0,0.5757330669161878,0.6060606060606061
19,1.506812708601511,0.5757575757575758,,,
16,0.7802900613869304,0.48484848484848486,-6.0,-0.39964608617076514,0.4393939393939394
16,0.7802900613869304,0.48484848484848486,10.0,0.30972057061974606,0.5606060606060606
10,-0.6727552330422312,0.30303030303030304,-4.0,-0.3109752540719512,0.45454545454545453
8,-1.1571036645186183,0.24242424242424243,,,
16,0.7802900613869304,0.48484848484848486,,,
10,-0.6727552330422312,0.30303030303030304,-10.0,-0.5769877503683929,0.4090909090909091
19,1.506812708601511,0.5757575757575758,-4.0,-0.3109752540719512,0.45454545454545453
14,0.2959416299105432,0.42424242424242425,,,
8,-1.1571036645186183,0.24242424242424243,32.0,1.2850997237066988,0.7272727272727273
16,0.7802900613869304,0.48484848484848486,-22.0,-1.1090127429612764,0.3181818181818182
23,2.4755095715542854,0.696969696969697,26.0,1.0190872274102571,0.6818181818181818
11,-0.4305810173040376,0.3333333333333333,38.0,1.5511122200031404,0.7727272727272727
13,0.053767414172349585,0.3939393939393939,2.0,-0.04496275777550954,0.5
20,1.7489869243397047,0.6060606060606061,36.0,1.4624413879043265,0.7575757575757576
